2026-06-29 19:08:46,489 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:08:46,509 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:08:46,509 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:08:46,517 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:08:46,527 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:08:46,528 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:08:47,179 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:08:47,815 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:08:47,989 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:08:47,992 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:08:47,994 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:08:47,996 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:08:47,996 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:08:47,997 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:08:47,997 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:08:47,998 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:10:04,458 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:10:05,142 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:10:05,313 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:10:05,316 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 19:10:05,319 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 19:10:05,320 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 19:10:05,320 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 19:10:05,321 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 19:10:05,322 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 19:10:05,322 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:10:05,322 | INFO     | SCHEMA.transform | Diminuindo as casas decimais...
2026-06-29 19:10:05,322 | INFO     | SCHEMA.transform | Feito!!
